"ID","STATUS","NAME"
556,1,"El Paso County"
557,1,"Elbert County"
558,1,"Elk County"
559,1,"Elkhart County"
560,1,"Elko County"
561,1,"Elliott County"
562,1,"Ellis County"
563,1,"Ellsworth County"
564,1,"Elmore County"
565,1,"Emanuel County"
566,1,"Emery County"
567,1,"Emmet County"
568,0,"Emmons County"
569,1,"Emporia City"
570,1,"Erath County"
571,1,"Erie County"
572,1,"Escambia County"
573,1,"Esmeralda County"
574,0,"Essex County"
575,1,"Estill County"
576,1,"Etowah County"
577,1,"Eureka County"
578,1,"Evangeline Parish"
579,1,"Evans County"
580,1,"Fairbanks North Star Borough"
581,0,"Fairfax City"
582,0,"Fairfax County"
583,0,"Fairfield County"
584,1,"Fall River County"
585,1,"Fallon County"
586,0,"Falls Church City"
587,0,"Falls County"
588,1,"Fannin County"
589,1,"Faribault County"
590,1,"Faulk County"
591,1,"Faulkner County"
592,0,"Fauquier County"
593,1,"Fayette County"
594,1,"Fentress County"
595,1,"Fergus County"
596,1,"Ferry County"
597,0,"Fillmore County"
598,0,"Finney County"
599,1,"Fisher County"
600,1,"Flagler County"
601,1,"Flathead County"
602,1,"Fleming County"
603,1,"Florence County"
604,0,"Floyd County"
605,0,"Fluvanna County"
606,1,"Foard County"
607,0,"Fond Du Lac County"
608,0,"Ford County"
609,1,"Forest County"
610,0,"Forrest County"
611,1,"Forsyth County"
612,0,"Fort Bend County"
613,1,"Foster County"
614,1,"Fountain County"
615,1,"Franklin City"
616,0,"Franklin County"
617,1,"Franklin Parish"
618,1,"Frederick County"
619,0,"Fredericksburg City"
620,1,"Freeborn County"
621,0,"Freestone County"
622,1,"Fremont County"
623,0,"Fresno County"
624,1,"Frio County"
625,1,"Frontier County"
626,0,"Fulton County"
627,1,"Furnas County"
628,1,"Gadsden County"
629,1,"Gage County"
630,0,"Gaines County"
631,0,"Galax City"
632,1,"Gallatin County"
633,1,"Gallia County"
634,1,"Galveston County"
635,1,"Garden County"
636,0,"Garfield County"
637,1,"Garland County"
638,1,"Garrard County"
639,1,"Garrett County"
640,1,"Garvin County"
641,0,"Garza County"
642,1,"Gasconade County"
643,1,"Gaston County"
644,1,"Gates County"
645,1,"Geary County"
646,1,"Geauga County"
647,1,"Gem County"
648,1,"Genesee County"
649,0,"Geneva County"
650,1,"Gentry County"
651,1,"George County"
652,1,"Georgetown County"
653,1,"Gibson County"
654,1,"Gila County"
655,1,"Gilchrist County"
656,0,"Giles County"
657,1,"Gillespie County"
658,1,"Gilliam County"
659,0,"Gilmer County"
660,1,"Gilpin County"
661,1,"Glacier County"
662,1,"Glades County"
663,1,"Gladwin County"
664,1,"Glascock County"
665,1,"Glasscock County"
666,1,"Glenn County"
667,0,"Gloucester County"
668,1,"Glynn County"
669,1,"Gogebic County"
670,1,"Golden Valley County"
671,1,"Goliad County"
672,1,"Gonzales County"
673,1,"Goochland County"
674,0,"Goodhue County"
675,1,"Gooding County"
676,1,"Gordon County"
677,1,"Goshen County"
678,0,"Gosper County"
679,0,"Gove County"
680,1,"Grady County"
681,1,"Grafton County"
682,1,"Graham County"
683,1,"Grainger County"
684,1,"Grand County"
685,1,"Grand Forks County"
686,1,"Grand Isle County"
687,1,"Grand Traverse County"
688,0,"Granite County"
689,1,"Grant County"
690,1,"Grant Parish"
691,1,"Granville County"
692,1,"Gratiot County"
693,1,"Graves County"
694,1,"Gray County"
695,1,"Grays Harbor County"
696,0,"Grayson County"
697,0,"Greeley County"
698,0,"Green County"
699,1,"Green Lake County"
700,1,"Greenbrier County"
701,1,"Greene County"
702,1,"Greenlee County"
703,1,"Greensville County"
704,1,"Greenup County"
705,1,"Greenville County"
706,1,"Greenwood County"
707,1,"Greer County"
708,0,"Gregg County"
709,0,"Gregory County"
710,0,"Grenada County"
711,1,"Griggs County"
712,0,"Grimes County"
713,0,"Grundy County"
714,1,"Guadalupe County"
715,0,"Guaynabo"
716,1,"Guernsey County"
717,1,"Guilford County"
718,1,"Gulf County"
719,1,"Gunnison County"
720,1,"Guthrie County"
721,0,"Gwinnett County"
722,0,"Haakon County"
723,1,"Habersham County"
724,0,"Haines Borough"
725,1,"Hale County"
726,1,"Halifax County"
727,0,"Hall County"
728,1,"Hamblen County"
729,1,"Hamilton County"
730,1,"Hamlin County"
731,1,"Hampden County"
732,0,"Hampshire County"
733,1,"Hampton City"
734,0,"Hampton County"
735,1,"Hancock County"
736,0,"Hand County"
737,1,"Hanover County"
738,1,"Hansford County"
739,1,"Hanson County"
740,1,"Haralson County"
741,1,"Hardee County"
742,1,"Hardeman County"
743,0,"Hardin County"
744,0,"Harding County"
745,1,"Hardy County"
746,1,"Harford County"
747,1,"Harlan County"
748,1,"Harmon County"
749,1,"Harnett County"
750,0,"Harney County"
751,1,"Harper County"
752,0,"Harris County"
753,0,"Harrison County"
754,1,"Harrisonburg City"
755,0,"Hart County"
756,1,"Hartford County"
757,1,"Hartley County"
758,1,"Harvey County"
759,0,"Haskell County"
760,1,"Hawaii County"
761,1,"Hawkins County"
762,1,"Hayes County"
763,1,"Hays County"
764,1,"Haywood County"
765,1,"Heard County"
766,1,"Hemphill County"
767,1,"Hempstead County"
768,0,"Henderson County"
769,0,"Hendricks County"
770,1,"Hendry County"
771,1,"Hennepin County"
772,1,"Henrico County"
773,0,"Henry County"
774,1,"Herkimer County"
775,0,"Hernando County"
776,1,"Hertford County"
777,1,"Hettinger County"
778,1,"Hickman County"
779,1,"Hickory County"
780,1,"Hidalgo County"
781,1,"Highland County"
782,1,"Highlands County"
783,1,"Hill County"
784,0,"Hillsborough County"
785,1,"Hillsdale County"
786,0,"Hinds County"
787,1,"Hinsdale County"
788,0,"Hitchcock County"
789,1,"Hocking County"
790,1,"Hockley County"
791,1,"Hodgeman County"
792,1,"Hoke County"
793,0,"Holmes County"
794,0,"Holt County"
795,1,"Honolulu County"
796,1,"Hood County"
797,1,"Hood River County"
798,0,"Hooker County"
799,1,"Hoonah-Angoon Borough"
800,1,"Hopewell City"
801,0,"Hopkins County"
802,1,"Horry County"
803,1,"Hot Spring County"
804,1,"Hot Springs County"
805,1,"Houghton County"
806,0,"Houston County"
807,0,"Howard County"
808,1,"Howell County"
809,1,"Hubbard County"
810,1,"Hudson County"
811,1,"Hudspeth County"
812,1,"Huerfano County"
813,0,"Hughes County"
814,1,"Humboldt County"
815,1,"Humphreys County"
816,0,"Hunt County"
817,1,"Hunterdon County"
818,1,"Huntingdon County"
819,1,"Huntington County"
820,0,"Huron County"
821,1,"Hutchinson County"
822,1,"Hyde County"
823,1,"Iberia Parish"
824,1,"Iberville Parish"
825,1,"Ida County"
826,1,"Idaho County"
827,0,"Imperial County"
828,1,"Independence County"
829,0,"Indian River County"
830,1,"Indiana County"
831,1,"Ingham County"
832,0,"Inyo County"
833,1,"Ionia County"
834,0,"Iosco County"
835,0,"Iowa County"
